date,temperature_avg_C,temperature_min_C,temperature_max_C
2000-01-01,5.958753535813742,-0.4092762551372857,12.622750721776526
2000-01-02,6.128765472410805,-0.22170023617582046,13.038441447392188
2000-01-03,6.107337379860212,-0.18082558996468379,12.995602265956734
2000-01-04,6.18762300156385,-0.20293618176629025,13.05179411716341
2000-01-05,6.039061948211554,-0.3363254544061647,12.77845324439204
2000-01-06,5.9878802961313795,-0.4410933768792802,12.632456783222494
2000-01-07,6.288272278761383,-0.25953372644977435,12.729590264786964
2000-01-08,6.828459166522521,0.5778777248739289,13.104143788163071
2000-01-09,7.00360013820756,0.8953827771510987,13.135486835084407
2000-01-10,6.84545102097411,1.0068655852205097,12.728893942374896
2000-01-11,7.419544523612103,1.5894476336515595,13.216837510702305
2000-01-12,7.489482123650873,1.7696590657395177,13.100206034363964
2000-01-13,6.813265101289915,1.112412420248802,12.407761820751887
2000-01-14,5.813533376142175,0.13398417986087452,11.658272859238252
2000-01-15,5.038838151414041,-0.678539297878558,10.915992926713841
2000-01-16,4.5832763444525995,-1.2167574047983862,10.558701800915003
2000-01-17,5.090831745900459,-1.384773917665882,11.45651379712018
2000-01-18,6.5136273279468355,-0.30365369456319513,13.24916516538724
2000-01-19,7.152765228517808,0.27094691249959624,13.890562449040203
2000-01-20,6.199793347216655,-0.28223476353974775,12.48177463446558
2000-01-21,6.1512678261948395,-0.3852947062981684,12.611345614506206
2000-01-22,6.170288093966462,0.1844567789758571,12.27842506266046
2000-01-23,5.909383987308274,-0.16723800803384847,12.036040199241882
2000-01-24,6.076068902374061,-0.2099352565092545,12.162970035935075
2000-01-25,6.239908579624057,-0.030666303812381557,12.2574401032075
2000-01-26,6.445302955018292,0.043561725313850275,12.613022635242771
2000-01-27,6.03846055142327,-0.17019421851802008,12.189822640679267
2000-01-28,5.475305193459008,-0.6030631722138082,11.54425178898964
2000-01-29,5.251457080352566,-1.1756258553135694,11.546538076221339
2000-01-30,5.8398347556873205,-1.1710535801904598,12.493548003888577
2000-01-31,6.735614341152598,-0.18562422707015003,13.162651279122656
2000-02-01,6.549527840390169,0.6821240696388031,12.366433921098007
2000-02-02,6.202527805849286,0.4802616356614635,11.799321743640064
2000-02-03,6.400454633608831,0.5491987413856236,12.110356961933178
2000-02-04,6.56964661308109,0.6841942854198919,12.085264592298131
2000-02-05,6.4861604703522175,0.9423050932348929,11.888476171503726
2000-02-06,6.066826225072305,0.2916550381551133,11.664481879665686
2000-02-07,5.492888692247504,-0.46888469034229274,11.427259630356275
2000-02-08,5.703078586832362,-0.613519347037311,11.714684074408126
2000-02-09,5.801245825638489,-0.2827001456126368,11.464808822528482
2000-02-10,6.380273434964749,0.024652563683162043,12.22324127078025
2000-02-11,6.355852907724341,0.5063198826064763,11.77990417358393
2000-02-12,5.828427744203168,0.04422218801522604,11.358103225098489
2000-02-13,5.758689017358051,-0.40238700854041554,11.761959288312823
2000-02-14,5.794210690999648,-0.6545071042848463,11.858543003850116
2000-02-15,6.698121653643284,-0.444571392121361,13.109963418943494
