Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Horizon
0.7068493150684931,0.3413173652694611,0.5302325581395348,0.41530054644808745,0.6401162790697674,0.75,0.5302325581395348,0.7246987315010571,0.37074558968201565,0.24177622677018185,0.22548691928386688,flood_target,1-day
0.7044830741079597,0.3383233532934132,0.5255813953488372,0.4116575591985428,0.6369364835514117,0.7482915717539863,0.5255813953488372,0.7136992106796631,0.36565876359762695,0.23633145756317003,0.22895029187202454,flood_target,3-day
0.696608615948671,0.3263473053892216,0.5069767441860465,0.3970856102003643,0.6250637145587767,0.7431506849315068,0.5069767441860465,0.701725602633535,0.36354826739397356,0.21587951276924622,0.23480325937271118,flood_target,5-day
0.6887052341597796,0.3143712574850299,0.4883720930232558,0.3825136612021858,0.6131791815230696,0.7379862700228833,0.4883720930232558,0.6886647863338833,0.3521879027098948,0.19540010000163782,0.2422124743461609,flood_target,7-day
0.9780821917808219,0.8686868686868687,0.8865979381443299,0.8775510204081632,0.9367859430200607,0.9869739478957916,0.8865979381443299,0.9932132305848811,0.9049496688303748,0.8655706464417169,0.02182832360267639,heatwave_target,1-day
0.9505946935041171,0.7171717171717171,0.7319587628865979,0.7244897959183674,0.8519231565437005,0.9718875502008032,0.7319587628865979,0.9480499316855049,0.6815506546000983,0.6974010338678526,0.049008969217538834,heatwave_target,3-day
0.9431714023831348,0.6767676767676768,0.6907216494845361,0.6836734693877551,0.8292642452654069,0.9678068410462777,0.6907216494845361,0.9267149287477442,0.597472568439036,0.652499517621998,0.05651861056685448,heatwave_target,5-day
0.9357208448117539,0.6363636363636364,0.6494845360824743,0.6428571428571429,0.8065971067509146,0.9637096774193549,0.6494845360824743,0.9041403392085133,0.5253755622805131,0.6075815206949516,0.06395573914051056,heatwave_target,7-day
0.958904109589041,0.5,0.35555555555555557,0.4155844155844156,0.6701587301587302,0.9847619047619047,0.35555555555555557,0.9472169312169312,0.342805161147077,0.4010915536879522,0.03689423203468323,compound_target,1-day
0.958828911253431,0.5,0.35555555555555557,0.4155844155844156,0.6701441899915183,0.9847328244274809,0.35555555555555557,0.9143341815097541,0.33425135463845057,0.40105260015129884,0.03696146234869957,compound_target,3-day
0.9587534372135655,0.5,0.35555555555555557,0.4155844155844156,0.6701295942213724,0.9847036328871893,0.35555555555555557,0.889929891650733,0.31737930417827565,0.401013498621989,0.037211574614048004,compound_target,5-day
0.9550045913682277,0.4375,0.3111111111111111,0.36363636363636365,0.6469348659003831,0.9827586206896551,0.3111111111111111,0.8876330353341848,0.2900554104996537,0.34633699145450364,0.040052711963653564,compound_target,7-day
