Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Experiment
0.7016423357664233,0.32926829268292684,0.5023255813953489,0.39779005524861877,0.6263046749201489,0.7502837684449489,0.5023255813953489,0.6928859910777921,0.2985643276807671,0.21904788960553434,0.2285870760679245,flood_target,A_Climate_Only
0.6952554744525548,0.33608815426997246,0.5674418604651162,0.42214532871972316,0.6469445397671778,0.7264472190692395,0.5674418604651162,0.7218699680595517,0.3461509566169212,0.2479621155485866,0.23435288667678833,flood_target,B_Hydro_Only
0.718065693430657,0.3549382716049383,0.5348837209302325,0.4267161410018553,0.648826650476467,0.7627695800227015,0.5348837209302325,0.7218435709949055,0.3709450084510413,0.2590220475390014,0.216078981757164,flood_target,C_Climate_Hydro
0.7125912408759124,0.35119047619047616,0.5488372093023256,0.4283121597096189,0.650695562653433,0.7525539160045402,0.5488372093023256,0.7357917799540692,0.4332292419330901,0.2595740118202557,0.21899795532226562,flood_target,D_Climate_Hydro_Temporal_Lag
0.7052919708029197,0.34210526315789475,0.5441860465116279,0.42010771992818674,0.6443972230287992,0.7446083995459705,0.5441860465116279,0.7270543515561069,0.4007119105134149,0.24751259020445707,0.2267097383737564,flood_target,E_Full_Features
0.9844890510948905,0.8846153846153846,0.9484536082474226,0.9154228855721394,0.9682207981177053,0.987987987987988,0.9484536082474226,0.9973375437292963,0.9730667661972858,0.9075630419429119,0.013313431292772293,heatwave_target,A_Climate_Only
0.9397810218978102,0.6962025316455697,0.5670103092783505,0.625,0.7714931426271632,0.975975975975976,0.5670103092783505,0.9619000443742712,0.6751513048825603,0.5963255940109399,0.049760591238737106,heatwave_target,B_Hydro_Only
0.9799270072992701,0.8712871287128713,0.9072164948453608,0.8888888888888888,0.9471017409161739,0.986986986986987,0.9072164948453608,0.9971930693580179,0.9723116926926215,0.8780772810355404,0.016512326896190643,heatwave_target,C_Climate_Hydro
0.9781021897810219,0.8543689320388349,0.9072164948453608,0.88,0.9461007399151729,0.984984984984985,0.9072164948453608,0.9976368120698018,0.9768089284672548,0.8684369909440317,0.016382882371544838,heatwave_target,D_Climate_Hydro_Temporal_Lag
0.9781021897810219,0.8543689320388349,0.9072164948453608,0.88,0.9461007399151729,0.984984984984985,0.9072164948453608,0.9975955336780079,0.9766133601245007,0.8684369909440317,0.01639730855822563,heatwave_target,E_Full_Features
0.947992700729927,0.3,0.2,0.24,0.5900095147478592,0.9800190294957184,0.2,0.9444550163865102,0.30903060760918355,0.21892068644157317,0.03953652083873749,compound_target,A_Climate_Only
0.9562043795620438,0.42105263157894735,0.17777777777777778,0.25,0.5836557775663389,0.9895337773549001,0.17777777777777778,0.8795855798710224,0.2715129024451603,0.25436004825389574,0.03986421227455139,compound_target,B_Hydro_Only
0.9507299270072993,0.32,0.17777777777777778,0.22857142857142856,0.5808013532085844,0.9838249286393911,0.17777777777777778,0.9174965641188287,0.25948795583635015,0.21477884616484857,0.0421740747988224,compound_target,C_Climate_Hydro
0.9571167883211679,0.47058823529411764,0.35555555555555557,0.4050632911392405,0.6692145047045143,0.9828734538534729,0.35555555555555557,0.9412834337667829,0.3626496838885943,0.387323172796343,0.0365632139146328,compound_target,D_Climate_Hydro_Temporal_Lag
0.9571167883211679,0.47058823529411764,0.35555555555555557,0.4050632911392405,0.6692145047045143,0.9828734538534729,0.35555555555555557,0.9413468654191774,0.36275411398914315,0.387323172796343,0.036581505089998245,compound_target,E_Full_Features
