Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Experiment
0.7016423357664233,0.32926829268292684,0.5023255813953489,0.39779005524861877,0.6263046749201489,0.7502837684449489,0.5023255813953489,0.6928859910777921,0.2985643276807671,0.21904788960553434,0.2285870760679245,flood_target,A_Climate_Only
0.6952554744525548,0.33608815426997246,0.5674418604651162,0.42214532871972316,0.6469445397671778,0.7264472190692395,0.5674418604651162,0.7218699680595517,0.3461509566169212,0.2479621155485866,0.23435288667678833,flood_target,B_Hydro_Only
0.718065693430657,0.3549382716049383,0.5348837209302325,0.4267161410018553,0.648826650476467,0.7627695800227015,0.5348837209302325,0.7218435709949055,0.3709450084510413,0.2590220475390014,0.216078981757164,flood_target,C_Climate_Hydro
0.7052919708029197,0.3430232558139535,0.5488372093023256,0.4221824686940966,0.6461552675342501,0.7434733257661748,0.5488372093023256,0.7309505582979173,0.3769076022761442,0.2501286910984475,0.2222364991903305,flood_target,D_Climate_Hydro_Temporal_Lag
0.7217153284671532,0.3611111111111111,0.5441860465116279,0.43413729128014844,0.6546128870469604,0.7650397275822929,0.5441860465116279,0.7365150595253808,0.3924963077488971,0.26909257482182314,0.21683120727539062,flood_target,E_Full_Features
0.989963503649635,0.9056603773584906,0.9896907216494846,0.9458128078817734,0.9898403558197373,0.98998998998999,0.9896907216494846,0.9986481326687512,0.9855598183270866,0.9414183058119475,0.008550158701837063,heatwave_target,A_Climate_Only
0.9397810218978102,0.6962025316455697,0.5670103092783505,0.625,0.7714931426271632,0.975975975975976,0.5670103092783505,0.9619000443742712,0.6751513048825603,0.5963255940109399,0.049760591238737106,heatwave_target,B_Hydro_Only
0.9908759124087592,0.9306930693069307,0.9690721649484536,0.9494949494949495,0.9810325789707233,0.992992992992993,0.9690721649484536,0.9987822874420813,0.9869376997435428,0.9447151294168599,0.007844478823244572,heatwave_target,C_Climate_Hydro
0.9981751824817519,0.9797979797979798,1.0,0.9897959183673469,0.998998998998999,0.997997997997998,1.0,1.0,0.9999999999999998,0.9888561180884036,0.001912238192744553,heatwave_target,D_Climate_Hydro_Temporal_Lag
0.9981751824817519,0.9797979797979798,1.0,0.9897959183673469,0.998998998998999,0.997997997997998,1.0,1.0,0.9999999999999998,0.9888561180884036,0.0019117816118523479,heatwave_target,E_Full_Features
0.947992700729927,0.3,0.2,0.24,0.5900095147478592,0.9800190294957184,0.2,0.9444550163865102,0.30903060760918355,0.21892068644157317,0.03953652083873749,compound_target,A_Climate_Only
0.9562043795620438,0.42105263157894735,0.17777777777777778,0.25,0.5836557775663389,0.9895337773549001,0.17777777777777778,0.8795855798710224,0.2715129024451603,0.25436004825389574,0.03986421227455139,compound_target,B_Hydro_Only
0.9507299270072993,0.32,0.17777777777777778,0.22857142857142856,0.5808013532085844,0.9838249286393911,0.17777777777777778,0.9174965641188287,0.25948795583635015,0.21477884616484857,0.0421740747988224,compound_target,C_Climate_Hydro
0.9571167883211679,0.47058823529411764,0.35555555555555557,0.4050632911392405,0.6692145047045143,0.9828734538534729,0.35555555555555557,0.9517708002960145,0.3752997315819424,0.387323172796343,0.03680422902107239,compound_target,D_Climate_Hydro_Temporal_Lag
0.9534671532846716,0.4117647058823529,0.3111111111111111,0.35443037974683544,0.6460408076963738,0.9809705042816366,0.3111111111111111,0.9492546780843641,0.3589864641843617,0.3342797893920206,0.037635963410139084,compound_target,E_Full_Features
