Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Model
0.6405109489051095,0.2923433874709977,0.586046511627907,0.3900928792569659,0.6199245043951113,0.6538024971623155,0.586046511627907,0.6866562838212391,0.3613935747215672,0.1949825089733323,0.2600131536448577,flood_target,LogisticRegression
0.6925182481751825,0.3554502369668246,0.6976744186046512,0.4709576138147566,0.6944671752501121,0.6912599318955732,0.6976744186046512,0.7202386294644035,0.3550289068923157,0.3173929763523498,0.2388152672780206,flood_target,RandomForest
0.6870437956204379,0.3431372549019608,0.6511627906976745,0.449438202247191,0.6734815088562152,0.695800227014756,0.6511627906976745,0.709605891824829,0.3790848436221318,0.2850139190741296,0.2136280834674835,flood_target,XGBoost
0.6678832116788321,0.3187347931873479,0.6093023255813953,0.4185303514376997,0.6457408336193016,0.6821793416572077,0.6093023255813953,0.7145896576300714,0.3641631796632911,0.2390849464704686,0.2401188892115966,flood_target,LightGBM
0.6605839416058394,0.3012658227848101,0.5534883720930233,0.3901639344262295,0.6201040044347068,0.6867196367763905,0.5534883720930233,0.6488028931182852,0.2393700701388801,0.1986722044302986,0.2483150213956833,flood_target,LSTM
0.6505474452554745,0.3018867924528302,0.5953488372093023,0.4006259780907668,0.6296834991948895,0.6640181611804767,0.5953488372093023,0.6232346963017712,0.2391343130594883,0.211472712252947,0.2560795247554779,flood_target,GRU
0.6897810218978102,0.3425692695214106,0.6325581395348837,0.4444444444444444,0.6681519415041047,0.7037457434733257,0.6325581395348837,0.7347675738457883,0.4005868798616246,0.2778466882666673,0.2230476572912072,flood_target,StackingEnsemble
0.9744525547445256,0.776,1.0,0.8738738738738738,0.985985985985986,0.971971971971972,1.0,0.9977916060390288,0.9770588628191972,0.8684758201874421,0.0167511417064032,heatwave_target,LogisticRegression
0.998175182481752,1.0,0.979381443298969,0.9895833333333334,0.9896907216494846,1.0,0.979381443298969,0.9998761648246184,0.9988597791019052,0.9886478833328132,0.0036732959425573,heatwave_target,RandomForest
0.998175182481752,0.9797979797979798,1.0,0.9897959183673468,0.998998998998999,0.997997997997998,1.0,1.0,1.0,0.9888561180884036,0.0018745673587545,heatwave_target,XGBoost
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.690019652787984e-05,heatwave_target,LightGBM
0.916970802919708,0.5161290322580645,0.9896907216494846,0.6784452296819788,0.9498003157796971,0.90990990990991,0.9896907216494846,0.9862026975429036,0.8793475710611682,0.6806771857958082,0.0600774437189102,heatwave_target,LSTM
0.9142335766423356,0.5082872928176796,0.9484536082474226,0.6618705035971223,0.9296822595791668,0.9109109109109108,0.9484536082474226,0.9837466332311692,0.852713772094678,0.6573492861542857,0.0616012066602706,heatwave_target,GRU
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000397206745082,heatwave_target,StackingEnsemble
0.8868613138686131,0.2576687116564417,0.9333333333333332,0.4038461538461538,0.9091024421186172,0.884871550903901,0.9333333333333332,0.9394650597314728,0.2451103591971645,0.4562838091805041,0.0883756769472366,compound_target,LogisticRegression
0.8795620437956204,0.2456140350877192,0.9333333333333332,0.3888888888888889,0.9052965429749444,0.8772597526165556,0.9333333333333332,0.9511576276562004,0.4248544285041032,0.4432426966181529,0.0803418211485847,compound_target,RandomForest
0.8740875912408759,0.2372881355932203,0.9333333333333332,0.3783783783783784,0.90244211861719,0.8715509039010466,0.9333333333333332,0.9395602072100644,0.5653839053677748,0.4340069141778048,0.0994265601038932,compound_target,XGBoost
0.9452554744525548,0.3684210526315789,0.4666666666666667,0.4117647058823529,0.7162067871868062,0.9657469077069456,0.4666666666666667,0.9499524262607042,0.4227427285391635,0.3864219005686557,0.0393934703912599,compound_target,LightGBM
0.8777372262773723,0.239766081871345,0.9111111111111112,0.3796296296296296,0.8937096944708742,0.8763082778306375,0.9111111111111112,0.9473517285125276,0.4203790746150431,0.4305710218524307,0.0885848328471183,compound_target,LSTM
0.8594890510948905,0.2116402116402116,0.8888888888888888,0.3418803418803419,0.8735595728935406,0.8582302568981922,0.8888888888888888,0.946992282482292,0.4498914733320773,0.3924306639245536,0.1018755137920379,compound_target,GRU
0.9443430656934306,0.3918918918918919,0.6444444444444445,0.4873949579831932,0.8008140395390633,0.9571836346336822,0.6444444444444445,0.9551961095253196,0.3699326504593742,0.4757670976724923,0.1932605889120791,compound_target,StackingEnsemble
