Target,F1-Score,ROC-AUC,Recall
compound_target,0.3988261509269912,0.9470964916255115,0.8158730158730159
flood_target,0.423464771959722,0.6911279465723411,0.6179401993355481
heatwave_target,0.8847955512648078,0.9953738716625314,0.9882179675994109
