Hazard,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TP,TN,FP,FN,Threshold,Test Samples,Random Seed
compound_target,LightGBM,0.948905109489051,0.39622641509433965,0.4666666666666667,0.42857142857142855,0.9492969658526272,0.4002076211839515,21,1019,32,24,0.5,1096,42
compound_target,Stacking Ensemble,0.9096715328467153,0.2786885245901639,0.7555555555555555,0.40718562874251496,0.9525531240088804,0.44372508465289917,34,963,88,11,0.5,1096,42
compound_target,GRU,0.9177449168207024,0.3253968253968254,0.9111111111111111,0.47953216374269003,0.9563698703525125,0.3661719527985936,41,952,85,4,0.5,1082,42
