Hazard,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TP,TN,FP,FN,Threshold,Test Samples,Random Seed
flood_target,LightGBM,0.6742700729927007,0.31794871794871793,0.5767441860465117,0.4099173553719008,0.7202175118126865,0.38060117167053387,124,615,266,91,0.5,1096,42
flood_target,RandomForest,0.6861313868613139,0.328,0.5720930232558139,0.41694915254237286,0.6995538896074758,0.3092763555708923,123,629,252,92,0.5,1096,42
heatwave_target,LightGBM,0.9507299270072993,0.7529411764705882,0.6597938144329897,0.7032967032967034,0.9721783639309413,0.7476925640224096,64,978,21,33,0.5,1096,42
compound_target,LightGBM,0.948905109489051,0.39622641509433965,0.4666666666666667,0.42857142857142855,0.9492969658526272,0.4002076211839515,21,1019,32,24,0.5,1096,42
compound_target,Stacking Ensemble,0.9096715328467153,0.2786885245901639,0.7555555555555555,0.40718562874251496,0.9525531240088804,0.44372508465289917,34,963,88,11,0.5,1096,42
flood_target,GRU,0.6515711645101664,0.3150684931506849,0.641860465116279,0.4226646248085758,0.6439795069874735,0.2497738409759934,138,567,300,77,0.5,1082,42
heatwave_target,GRU,0.9038817005545287,0.480225988700565,0.8762886597938144,0.6204379562043796,0.9608456748129154,0.6725986343630951,85,893,92,12,0.5,1082,42
compound_target,GRU,0.9177449168207024,0.3253968253968254,0.9111111111111111,0.47953216374269003,0.9563698703525125,0.3661719527985936,41,952,85,4,0.5,1082,42
