Hazard,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TP,TN,FP,FN,Threshold,Test Samples,Random Seed
heatwave_target,LightGBM,0.9507299270072993,0.7529411764705882,0.6597938144329897,0.7032967032967034,0.9721783639309413,0.7476925640224096,64,978,21,33,0.5,1096,42
heatwave_target,GRU,0.9038817005545287,0.480225988700565,0.8762886597938144,0.6204379562043796,0.9608456748129154,0.6725986343630951,85,893,92,12,0.5,1082,42
