Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Experiment
0.7016423357664233,0.32926829268292684,0.5023255813953489,0.39779005524861877,0.6263046749201489,0.7502837684449489,0.5023255813953489,0.6928859910777921,0.2985643276807671,0.21904788960553434,0.2285870760679245,flood_target,A_Climate_Only
0.6952554744525548,0.33608815426997246,0.5674418604651162,0.42214532871972316,0.6469445397671778,0.7264472190692395,0.5674418604651162,0.7218699680595517,0.3461509566169212,0.2479621155485866,0.23435288667678833,flood_target,B_Hydro_Only
0.718065693430657,0.3549382716049383,0.5348837209302325,0.4267161410018553,0.648826650476467,0.7627695800227015,0.5348837209302325,0.7218435709949055,0.3709450084510413,0.2590220475390014,0.216078981757164,flood_target,C_Climate_Hydro
0.7125912408759124,0.35119047619047616,0.5488372093023256,0.4283121597096189,0.650695562653433,0.7525539160045402,0.5488372093023256,0.7357917799540692,0.4332292419330901,0.2595740118202557,0.21899795532226562,flood_target,D_Climate_Hydro_Temporal_Lag
0.7052919708029197,0.34210526315789475,0.5441860465116279,0.42010771992818674,0.6443972230287992,0.7446083995459705,0.5441860465116279,0.7270543515561069,0.4007119105134149,0.24751259020445707,0.2267097383737564,flood_target,E_Full_Features
0.9854014598540146,0.8932038834951457,0.9484536082474226,0.92,0.9687212986182059,0.988988988988989,0.9484536082474226,0.9970279557908424,0.9706571528452467,0.9124730755675861,0.013476948253810406,heatwave_target,A_Climate_Only
0.9352189781021898,0.6625,0.5463917525773195,0.5988700564971752,0.7596823627751463,0.972972972972973,0.5463917525773195,0.9564719358533792,0.6709432748090869,0.5670863757165358,0.0513044111430645,heatwave_target,B_Hydro_Only
0.9790145985401459,0.87,0.8969072164948454,0.883248730964467,0.9419471017409162,0.986986986986987,0.8969072164948454,0.9966151718729038,0.967252906203325,0.8718448928767089,0.017652463167905807,heatwave_target,C_Climate_Hydro
0.9817518248175182,0.8737864077669902,0.9278350515463918,0.9,0.9574110192666894,0.986986986986987,0.9278350515463918,0.9978225648328741,0.97964210549285,0.8904550332558089,0.014447920955717564,heatwave_target,D_Climate_Hydro_Temporal_Lag
0.9808394160583942,0.8725490196078431,0.9175257731958762,0.8944723618090452,0.9522563800914317,0.986986986986987,0.9175257731958762,0.9975852140800594,0.977395072252902,0.8842804653243688,0.014660723507404327,heatwave_target,E_Full_Features
0.9443430656934306,0.2777777777777778,0.2222222222222222,0.24691358024691357,0.5987419388941748,0.9752616555661275,0.2222222222222222,0.9444127286182472,0.3281053287425683,0.21985435779412885,0.04093042016029358,compound_target,A_Climate_Only
0.9534671532846716,0.3333333333333333,0.13333333333333333,0.19047619047619047,0.5609578179511576,0.9885823025689819,0.13333333333333333,0.9045142192620784,0.23328520164747776,0.1903361980973695,0.04142974689602852,compound_target,B_Hydro_Only
0.9534671532846716,0.39285714285714285,0.24444444444444444,0.3013698630136986,0.6141346865419177,0.9838249286393911,0.24444444444444444,0.942763505655989,0.30253798206906907,0.2870718572023422,0.0400354228913784,compound_target,C_Climate_Hydro
0.9525547445255474,0.4,0.3111111111111111,0.35,0.6455650703034148,0.9800190294957184,0.3111111111111111,0.9461676710011628,0.3668527093166502,0.32855120995571097,0.03779519349336624,compound_target,D_Climate_Hydro_Temporal_Lag
0.9562043795620438,0.45714285714285713,0.35555555555555557,0.4,0.6687387673115551,0.9819219790675547,0.35555555555555557,0.9411777143461253,0.32891186656904664,0.380855970811468,0.038688696920871735,compound_target,E_Full_Features
