Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Model
0.6405109489051095,0.2923433874709977,0.586046511627907,0.39009287925696595,0.6199245043951113,0.6538024971623155,0.586046511627907,0.6865612543885121,0.36247466869023354,0.19498250897333239,0.2601093227103816,flood_target,LogisticRegression
0.6916058394160584,0.35391923990498814,0.6930232558139535,0.46855345911949686,0.6921415938547634,0.6912599318955732,0.6930232558139535,0.7184119525908719,0.346809604812431,0.31373692414317983,0.2391469554920396,flood_target,RandomForest
0.6843065693430657,0.33827160493827163,0.6372093023255814,0.44193548387096776,0.6665047646701687,0.695800227014756,0.6372093023255814,0.7083942665575588,0.3788674264029509,0.2739664045675716,0.21357743442058563,flood_target,XGBoost
0.6651459854014599,0.3164251207729469,0.6093023255813953,0.4165341812400636,0.644038222949608,0.6787741203178207,0.6093023255813953,0.7105297890874533,0.359718310426857,0.23595140982644502,0.24402882131151177,flood_target,LightGBM
0.656934306569343,0.3002481389578164,0.5627906976744186,0.39158576051779936,0.6213499458860174,0.6799091940976163,0.5627906976744186,0.6428846712245598,0.23988804438357653,0.1998746086668913,0.24117714166641235,flood_target,LSTM
0.6514598540145985,0.30536130536130535,0.6093023255813953,0.40683229813664595,0.6355251696011404,0.6617480136208853,0.6093023255813953,0.6276218884460047,0.231154612373911,0.22052893301219373,0.24720151722431183,flood_target,GRU
0.6833941605839416,0.3333333333333333,0.6139534883720931,0.4320785597381342,0.657147005253016,0.7003405221339387,0.6139534883720931,0.7284322783306497,0.40000697963387816,0.25980450410170625,0.22722753061556247,flood_target,StackingEnsemble
0.9698905109489051,0.7461538461538462,1.0,0.8546255506607929,0.9834834834834835,0.9669669669669669,1.0,0.9963571819241922,0.9611638867340355,0.84941516439614,0.021684546819291044,heatwave_target,LogisticRegression
0.968978102189781,0.7837837837837838,0.8969072164948454,0.8365384615384616,0.9364415962354107,0.975975975975976,0.8969072164948454,0.9948402010257681,0.9536238754580895,0.8217602649780853,0.018938687709630087,heatwave_target,RandomForest
0.9781021897810219,0.8543689320388349,0.9072164948453608,0.88,0.9461007399151729,0.984984984984985,0.9072164948453608,0.995418098510882,0.9562446632957261,0.8684369909440317,0.018199283629655838,heatwave_target,XGBoost
0.9790145985401459,0.8557692307692307,0.9175257731958762,0.8855721393034826,0.9512553790904306,0.984984984984985,0.9175257731958762,0.9966151718729039,0.9675767343730429,0.8746785836656893,0.015939414156423252,heatwave_target,LightGBM
0.9051094890510949,0.48148148148148145,0.9381443298969072,0.6363636363636364,0.9200231158994046,0.9019019019019019,0.9381443298969072,0.9776477508436271,0.7558325045545136,0.6315929209314878,0.07101567089557648,heatwave_target,LSTM
0.9352189781021898,0.58125,0.9587628865979382,0.7237354085603113,0.9458479097654355,0.9329329329329329,0.9587628865979382,0.9814350432907134,0.7925769387281437,0.7172778605302743,0.050647418946027756,heatwave_target,GRU
0.9799270072992701,0.8571428571428571,0.9278350515463918,0.8910891089108911,0.9564100182656884,0.984984984984985,0.9278350515463918,0.997709049255441,0.9780832242158547,0.8808912554806894,0.020250934368994472,heatwave_target,StackingEnsemble
0.8832116788321168,0.25443786982248523,0.9555555555555556,0.40186915887850466,0.9178348662649329,0.8801141769743102,0.9555555555555556,0.9396553546886564,0.24331721706130433,0.4591547358198387,0.08916203508928244,compound_target,LogisticRegression
0.8813868613138686,0.2543352601156069,0.9777777777777777,0.4036697247706422,0.9275187651971667,0.8772597526165556,0.9777777777777777,0.9559467174119887,0.5030975491356434,0.4653383982073696,0.07750402693217466,compound_target,RandomForest
0.8759124087591241,0.24,0.9333333333333333,0.38181818181818183,0.9033935934031081,0.873453853472883,0.9333333333333333,0.9465165450893329,0.5281982721041079,0.4370365585863081,0.09935250878334045,compound_target,XGBoost
0.9516423357664233,0.43103448275862066,0.5555555555555556,0.4854368932038835,0.762078443810128,0.9686013320647003,0.5555555555555556,0.9485569299080242,0.41659226470240285,0.46457543084329017,0.039347692769300176,compound_target,LightGBM
0.8558394160583942,0.21025641025641026,0.9111111111111111,0.3416666666666667,0.8822919970398562,0.8534728829686014,0.9111111111111111,0.9526376995454064,0.4252552216614822,0.3966917019333093,0.08615852892398834,compound_target,LSTM
0.8996350364963503,0.2875816993464052,0.9777777777777777,0.4444444444444444,0.9370335130563484,0.8962892483349191,0.9777777777777777,0.9628924833491912,0.37304661328939914,0.5004385880068837,0.07695646584033966,compound_target,GRU
0.9379562043795621,0.3424657534246575,0.5555555555555556,0.423728813559322,0.7549423829157416,0.9543292102759277,0.5555555555555556,0.9433978221799345,0.33182277596856186,0.40577043863599793,0.2039425068070444,compound_target,StackingEnsemble
