system:index,country,country_code,deaths,displaced_people,event_id,gfd_country_name,glide_index,latitude,longitude,main_cause,other_country,primary_country,severity,validation_type,.geo
DFO_2248_From_20030611_to_20031010,"China, India, Myanmar (Burma), Pakistan, Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'PK', 'NP']",600.0,9500000.0,2248.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,26.170616,90.853814,Monsoonal rain,India,Bangladesh,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2257_From_20030619_to_20030703,"India, Myanmar (Burma), Bangladesh","['BM', 'BG', 'IN']",55.0,20000.0,2257.0,"['BURMA', 'BANGLADESH', 'INDIA']",NA,21.923872,91.932656,Monsoonal rain,NA,Bangladesh,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2276_From_20030702_to_20030901,"China, India, Myanmar (Burma), Bangladesh","['BM', 'BG', 'IN', 'CH']",0.0,0.0,2276.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA']",NA,20.574716,95.503476,Monsoonal rain,NA,Burma,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2279_From_20030715_to_20030901,"China, India, Pakistan, Afghanistan, Nepal, Bangladesh","['BG', 'IN', 'CH', 'AF', 'PK', 'UU', 'NP']",285.0,900000.0,2279.0,"['BANGLADESH', 'INDIA', 'CHINA', 'AFGHANISTAN', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,28.731898,72.2101,Monsoonal rain,India,Pakistan,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2338_From_20030827_to_20031020,"India, Bangladesh","['BG', 'IN']",67.0,3000000.0,2338.0,"['BANGLADESH', 'INDIA']",NA,20.625759,85.893641,Monsoonal rain,NA,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2473_From_20040414_to_20040503,"China, India, Myanmar (Burma), Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",12.0,50000.0,2473.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",NA,24.894242,91.694661,Heavy rain,India,Bangladesh,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2507_From_20040620_to_20041007,"China, India, Myanmar (Burma), Nepal, Bangladesh, Bhutan","['TH', 'BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",3000.0,4.0E7,2507.0,"['THAILAND', 'BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,25.498908,85.891802,Monsoonal rain,Bangladesh,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2519_From_20040705_to_20040811,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'BT', 'UU', 'NP']",185.0,100000.0,2519.0,"['BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,27.086351,86.252493,Monsoonal rain,Bhutan,Nepal,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2570_From_20041007_to_20041018,"China, India, Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",210.0,100000.0,2570.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,24.686228,89.400194,Heavy rain,Bangladesh,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2657_From_20050525_to_20050528,"India, Bangladesh","['BM', 'BG', 'IN']",13.0,50000.0,2657.0,"['BURMA', 'BANGLADESH', 'INDIA']",NA,24.598004,91.64239,Heavy rain,NA,Bangladesh,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
