Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Horizon
0.7059360730593607,0.3421828908554572,0.5395348837209303,0.4187725631768953,0.6430628964059197,0.7465909090909091,0.5395348837209303,0.7248890063424946,0.4022509906766285,0.2458424233367113,0.2239021509885788,flood_target,1-day
0.6980786825251601,0.3303834808259587,0.5209302325581395,0.4043321299638989,0.6311940456640356,0.7414578587699316,0.5209302325581395,0.712406632409811,0.3842547120397937,0.2254888575595151,0.22926367819309235,flood_target,3-day
0.69019248395967,0.3185840707964602,0.5023255813953489,0.3898916967509025,0.6193134756291813,0.7363013698630136,0.5023255813953489,0.696469151534459,0.3642804183320755,0.2051077196769494,0.23553864657878876,flood_target,5-day
0.682277318640955,0.30678466076696165,0.48372093023255813,0.37545126353790614,0.6074211058485446,0.7311212814645309,0.48372093023255813,0.6805811292640094,0.35055145710872143,0.18469880265650354,0.24290761351585388,flood_target,7-day
0.9726027397260274,0.8252427184466019,0.8762886597938144,0.85,0.9291262938247629,0.9819639278557114,0.8762886597938144,0.9927587133028944,0.9046775455664661,0.8353948831492208,0.022968465462327003,heatwave_target,1-day
0.9524245196706312,0.7184466019417476,0.7628865979381443,0.74,0.8668850660373453,0.9708835341365462,0.7628865979381443,0.9689479567755559,0.7311230398335617,0.7142320863058624,0.04408940672874451,heatwave_target,3-day
0.9358386801099908,0.6310679611650486,0.6701030927835051,0.65,0.8159368582629799,0.9617706237424547,0.6701030927835051,0.9435997427866166,0.5859946430469567,0.6150526095605922,0.06017053872346878,heatwave_target,5-day
0.9302112029384757,0.6019417475728155,0.6391752577319587,0.62,0.7989223062853341,0.9586693548387096,0.6391752577319587,0.9266607083471898,0.5444610777374735,0.581932956723846,0.0663931742310524,heatwave_target,7-day
0.9570776255707762,0.47058823529411764,0.35555555555555557,0.4050632911392405,0.6692063492063492,0.9828571428571429,0.35555555555555557,0.9433862433862434,0.36797581610301694,0.38730259500134867,0.03641911596059799,compound_target,1-day
0.9569990850869168,0.47058823529411764,0.35555555555555557,0.4050632911392405,0.6691899915182358,0.982824427480916,0.35555555555555557,0.9258057675996606,0.36996198821622567,0.38726132223982657,0.03622091934084892,compound_target,3-day
0.9550870760769936,0.4411764705882353,0.3333333333333333,0.379746835443038,0.6575844486934354,0.9818355640535373,0.3333333333333333,0.9196090928404503,0.3592139829759066,0.36069365222524413,0.03688647225499153,compound_target,5-day
0.9513314967860422,0.38235294117647056,0.28888888888888886,0.3291139240506329,0.6343869731800766,0.9798850574712644,0.28888888888888886,0.9167305236270753,0.32019640418293455,0.30759408934429205,0.03971165791153908,compound_target,7-day
