Dataset,Stage,Column,Dtype,Rows,Missing,Missing_Pct,Unique,Min,Max
NASA_Multi,Before,T2MDEW,float64,81824,0,0.0,3936,-18.41,28.09
NASA_Multi,Before,RH2M,float64,81824,0,0.0,8432,5.35,99.96
NASA_Multi,Before,WS10M,float64,81824,0,0.0,974,0.34,14.42
NASA_Multi,Before,PS,float64,81824,0,0.0,1834,68.35,101.96
NASA_Multi,Before,PRECTOTCORR,float64,81824,0,0.0,4767,0.0,262.43
NASA_Point,Before,YEAR,int64,2557,0,0.0,7,2019.0,2025.0
NASA_Point,Before,DOY,int64,2557,0,0.0,366,1.0,366.0
NASA_Point,Before,T2M,float64,2557,0,0.0,1140,18.7,36.7
NASA_Point,Before,T2M_MAX,float64,2557,0,0.0,1248,23.91,45.84
NASA_Point,Before,T2M_MIN,float64,2557,0,0.0,1094,11.85,31.6
NASA_Point,Before,T2MDEW,float64,2557,0,0.0,1011,1.11,26.63
NASA_Point,Before,RH2M,float64,2557,0,0.0,1905,28.08,95.57
NASA_Point,Before,WS10M,float64,2557,0,0.0,487,0.59,10.14
NASA_Point,Before,PS,float64,2557,0,0.0,203,98.47,100.59
NASA_Point,Before,PRECTOTCORR,float64,2557,0,0.0,815,0.0,124.64
NASA_Multi,After,date,datetime64[us],81824,0,0.0,2557,,
NASA_Multi,After,state,str,81824,0,0.0,29,,
NASA_Multi,After,city,str,81824,0,0.0,32,,
NASA_Multi,After,latitude,float64,81824,0,0.0,32,8.5241,34.0837
NASA_Multi,After,longitude,float64,81824,0,0.0,32,72.5714,94.1086
NASA_Multi,After,T2M,float64,81824,0,0.0,4322,-10.4,42.06
NASA_Multi,After,T2M_MAX,float64,81824,0,0.0,4534,-3.67,48.81
NASA_Multi,After,T2M_MIN,float64,81824,0,0.0,4135,-18.97,35.75
NASA_Multi,After,T2MDEW,float64,81824,0,0.0,3936,-18.41,28.09
NASA_Multi,After,RH2M,float64,81824,0,0.0,8432,5.35,99.96
NASA_Multi,After,WS10M,float64,81824,0,0.0,974,0.34,14.42
NASA_Multi,After,PS,float64,81824,0,0.0,1834,68.35,101.96
NASA_Multi,After,PRECTOTCORR,float64,81824,0,0.0,4767,0.0,262.43
NASA_Point,After,T2M,float64,2557,0,0.0,1140,18.7,36.7
NASA_Point,After,T2M_MAX,float64,2557,0,0.0,1248,23.91,45.84
NASA_Point,After,T2M_MIN,float64,2557,0,0.0,1094,11.85,31.6
NASA_Point,After,T2MDEW,float64,2557,0,0.0,1011,1.11,26.63
NASA_Point,After,RH2M,float64,2557,0,0.0,1905,28.08,95.57
NASA_Point,After,WS10M,float64,2557,0,0.0,487,0.59,10.14
NASA_Point,After,PS,float64,2557,0,0.0,203,98.47,100.59
NASA_Point,After,PRECTOTCORR,float64,2557,0,0.0,815,0.0,124.64
NASA_Point,After,date,datetime64[us],2557,0,0.0,2557,,
Flood_Events_GFD,Before,system:index,str,142,0,0.0,142,,
Flood_Events_GFD,Before,country,str,142,0,0.0,28,,
Flood_Events_GFD,Before,country_code,str,142,0,0.0,28,,
Flood_Events_GFD,Before,deaths,float64,142,0,0.0,91,0.0,100000.0
Flood_Events_GFD,Before,displaced_people,float64,142,0,0.0,67,0.0,40000000.0
Flood_Events_GFD,Before,event_id,float64,142,0,0.0,142,1641.0,4508.0
Flood_Events_GFD,Before,gfd_country_name,str,142,0,0.0,32,,
Flood_Events_GFD,Before,glide_index,str,142,104,73.23943661971832,37,,
Flood_Events_GFD,Before,latitude,float64,142,0,0.0,142,10.712137,35.030504
Flood_Events_GFD,Before,longitude,float64,142,0,0.0,142,67.90249,100.163684
Flood_Events_GFD,Before,main_cause,str,142,0,0.0,22,,
Flood_Events_GFD,Before,other_country,str,142,123,86.61971830985915,7,,
Flood_Events_GFD,Before,primary_country,str,142,0,0.0,9,,
Flood_Events_GFD,Before,severity,float64,142,0,0.0,3,1.0,2.0
Flood_Events_GFD,Before,validation_type,str,142,0,0.0,3,,
Flood_Events_GFD,Before,.geo,str,142,0,0.0,1,,
Flood_Events_Cleaned,After,event_id,float64,142,0,0.0,142,1641.0,4508.0
Flood_Events_Cleaned,After,start_date,datetime64[us],142,0,0.0,134,,
Flood_Events_Cleaned,After,end_date,datetime64[us],142,0,0.0,122,,
Flood_Events_Cleaned,After,latitude,float64,142,0,0.0,142,10.712137,35.030504
Flood_Events_Cleaned,After,longitude,float64,142,0,0.0,142,67.90249,100.163684
Flood_Events_Cleaned,After,severity,float64,142,0,0.0,3,1.0,2.0
Flood_Events_Cleaned,After,deaths,float64,142,0,0.0,91,0.0,100000.0
Flood_Events_Cleaned,After,displaced_people,float64,142,0,0.0,67,0.0,40000000.0
Flood_Events_Cleaned,After,main_cause,str,142,0,0.0,22,,
Flood_Events_Cleaned,After,primary_country,str,142,0,0.0,9,,
Flood_Events_Cleaned,After,validation_type,str,142,0,0.0,3,,
