event_id,start_date,end_date,latitude,longitude,severity,deaths,displaced_people,main_cause,primary_country,validation_type
3134.0,2007-07-18,2007-08-13,24.098428,100.163684,1.0,170.0,10000.0,Heavy rain,China,News
3136.0,2007-07-21,2007-10-15,23.916419,91.233643,1.0,1071.0,5000000.0,Monsoonal rain,Bangladesh,News
3143.0,2007-07-23,2007-10-02,27.777213,84.080127,1.0,185.0,86000.0,Monsoonal rain,Nepal,News
3150.0,2007-08-03,2007-08-27,20.452499,86.19782,1.0,15.0,20000.0,Monsoonal rain,India,News
3160.0,2007-08-08,2007-08-15,22.682373,70.925042,1.0,12.0,0.0,Monsoonal rain,India,News
3162.0,2007-08-10,2007-08-13,26.019152,68.825675,1.0,35.0,0.0,Monsoonal rain,Pakistan,News
3164.0,2007-08-12,2007-08-17,31.238835,76.526785,1.0,76.0,15000.0,Monsoonal rain,India,News
3169.0,2007-08-14,2007-10-04,16.962415,95.17279,1.0,2.0,40000.0,Monsoonal rain,Burma,News
3191.0,2007-09-16,2007-10-07,15.706741,79.877978,1.0,94.0,20000.0,Monsoonal rain,India,News
3195.0,2007-09-22,2007-10-08,20.909634,86.403285,1.0,80.0,400000.0,Heavy rain,India,News
3208.0,2007-10-17,2007-10-24,24.721405,93.970474,1.5,2.0,30000.0,Heavy rain,India,News
3217.0,2007-10-27,2007-11-01,12.725021,79.700186,1.0,29.0,50000.0,Heavy rain,India,News
3226.0,2007-11-15,2007-12-01,22.610398,90.150761,1.0,3447.0,3000000.0,Tropical cyclone,Bangladesh,News
3302.0,2008-05-03,2008-05-22,16.821377,95.971541,1.5,100000.0,1500000.0,Tropical cyclone,Burma,News
3312.0,2008-05-24,2008-05-28,26.399977,93.754969,1.0,0.0,0.0,Heavy rain,India,News
3327.0,2008-07-05,2008-07-14,25.241123,90.120056,1.5,350.0,70000.0,Monsoon Rain,India,News
3338.0,2008-07-20,2008-08-08,27.49945,89.78715,2.0,142.0,225000.0,monsoonal rainfall,India,News
3356.0,2008-08-05,2008-08-11,16.652289,81.380061,1.5,74.0,0.0,Heavy monsoon rains,India,News
3359.0,2008-08-09,2008-08-20,30.738475,72.634688,1.5,37.0,90752.0,Heavy monsoon rains,Pakistan,News
3365.0,2008-08-18,2008-09-24,26.950613,84.923215,2.0,400.0,10000000.0,Heavy monsoon rains,Nepal,News
3371.0,2008-08-30,2008-09-08,25.028785,90.210026,1.5,0.0,600000.0,Monsoon Rains,Bangladesh,News
3372.0,2008-08-30,2008-09-08,27.044183,94.55033,1.5,900.0,1000000.0,Monsoon Rains,India,News
3382.0,2008-09-22,2008-09-29,20.95224,84.406372,2.0,2400.0,0.0,Dam release and Heavy  Rain,India,News
3383.0,2008-09-22,2008-09-29,30.521816,78.938377,2.0,49.0,13000.0,Monsoonal Rain,Nepal,News
3485.0,2009-04-20,2009-05-15,22.163962,89.086148,1.5,21.0,15000.0,Heavy Rain,Bangladesh,News
3495.0,2009-07-03,2009-07-06,25.256217,89.086147,1.0,20.0,700000.0,Torrential Rain,Bangladesh,News
3496.0,2009-07-03,2009-07-06,27.481004,93.821488,1.0,6.0,0.0,Torrential Rain,India,News
3530.0,2009-08-18,2009-08-27,26.817651,94.142952,1.0,0.0,300000.0,Monsoon Rain,India,0
3551.0,2009-09-25,2009-10-12,15.708107,78.232999,2.0,303.0,0.0,Heavy Rain,India,0
3553.0,2009-10-04,2009-10-12,29.81192,80.763928,2.0,45.0,0.0,Heavy Rain,Nepal,0
3633.0,2010-03-27,2010-04-07,22.152795,89.509928,1.0,104.0,0.0,Heavy Rain,Bangladesh,0
3636.0,2010-04-18,2010-04-21,26.316584,91.862265,2.0,0.0,300.0,Heavy Rain,India,0
3650.0,2010-05-15,2010-06-26,26.638053,93.122627,1.5,0.0,10000.0,Monsoonal Rain,India,0
