date,rainfall_mm,runoff_m,sub_surface_runoff_m,surface_runoff_m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,dewpoint_C,dewpoint_max_C,dewpoint_min_C,surface_pressure_hPa,surface_pressure_max_hPa,surface_pressure_min_hPa,temperature_avg_C,temperature_min_C,temperature_max_C,total_evaporation_m,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed_ms
2000-01-01,0.013882390902049,0.00025239725332322423,0.0002434774816967965,8.919638165242978e-06,0.2002862130941292,0.2402559267767342,0.2764082240001961,0.328493311463788,-3.4609808970963387,-0.4878287466323313,-6.4469263165470325,832.3612563492217,834.2699052449159,830.5498719563593,5.958753535813742,-0.4092762551372857,12.622750721776526,0.0007355375277332416,-0.2394422206264344,-0.2779503889368165,1.610698436047588
2000-01-02,0.1014387791722108,0.000255104165448628,0.00024028154955035467,1.4822677710632758e-05,0.1999115924688472,0.2397602792846191,0.2759585277941299,0.3282985181231778,-3.695012845396464,-0.6547945289987511,-6.7601097840842606,831.7938976573723,833.8804820262444,830.0923869755326,6.128765472410805,-0.2217002361758204,13.038441447392188,0.0007314048174679038,-0.0079622612512495,-0.2615876822691193,1.6273580920319533
2000-01-03,0.3883714557629442,0.0002840843095228089,0.00024970227807230344,3.4380909442414286e-05,0.1998749510342293,0.2397012850962351,0.2755926737463092,0.3281056612368295,-3.9476161070957967,-0.8844561443873423,-6.967000846412546,830.497849447563,832.1989774813911,828.9464460754474,6.107337379860212,-0.1808255899646837,12.995602265956734,0.0007106776790537431,0.2449952488929785,-0.2916462904939811,1.6022660277172531
2000-01-04,0.357211209045482,0.0002525397102822464,0.00023637056639214747,1.6168449454859207e-05,0.1991770616561652,0.2393435813343008,0.2752725273044952,0.3279206459951973,-4.296952294271657,-1.2429453035660845,-7.302414905490843,830.6661704957143,832.0368300465377,829.1353623947076,6.18762300156385,-0.2029361817662902,13.05179411716341,0.0007282475986579589,0.2527380514550166,-0.22169869149419,1.594905255235685
2000-01-05,0.5970503623906374,0.00024627929885969255,0.0002318905140771577,1.438939503085926e-05,0.1984801076394804,0.238805682043466,0.2748906791387676,0.3277380584463455,-4.168872055908496,-1.3062996909433786,-7.19751037928917,830.9269534382394,832.6018494729899,829.3268933690885,6.039061948211554,-0.3363254544061647,12.77845324439204,0.0007087498199677587,0.1719068609106403,-0.4483249199551954,1.5116564764070646
2000-01-06,0.1164111907652355,0.0002510285494960269,0.00023261953600075565,1.8407958464827405e-05,0.1981002018695652,0.238358998889992,0.2745154058791828,0.3275592307000038,-4.37511429700328,-1.4382489995342775,-7.568631012879673,829.9776412624766,831.8929390833773,828.2766445627329,5.98788029613138,-0.4410933768792802,12.632456783222494,0.000683118201686826,0.2120895555168768,-0.2771736433660911,1.4943572951455528
2000-01-07,0.6272590688318742,0.0002717603789817888,0.00023516884446106047,3.659015089567584e-05,0.1981673547871188,0.2380020011749014,0.2741664951481523,0.3273869459942122,-3.686047492999493,-0.6897175978585011,-7.278395471981785,829.6058319218754,831.1593859926232,827.9860364930117,6.288272278761383,-0.2595337264497743,12.729590264786964,0.0006762863292582348,0.2131957371346388,0.0161617207143414,1.4979949174275524
2000-01-08,0.462516610685402,0.0002607595049349671,0.0002332850980854371,2.7472345765462896e-05,0.1984050379726116,0.237697897674707,0.2738283465766009,0.3272185401986406,-2.2555228314141678,0.479588942286218,-5.377247021006479,828.5215692791157,830.8069240339375,826.4823552156336,6.828459166522521,0.5778777248739289,13.104143788163071,0.0006781561480020218,0.21549451078346,0.1480408483414106,1.4315527937727746
2000-01-09,0.4494047819400255,0.00026915383798721104,0.0002307184583218745,3.843247026558583e-05,0.198763302335025,0.2374592741337015,0.2734852221531451,0.3270480739179783,-1.877387788372664,0.8839294608474731,-4.968124911002526,827.4879374834117,829.4338952768451,825.8801700462536,7.00360013820756,0.8953827771510987,13.135486835084407,0.0006921715235876478,0.4427985691588825,0.3450699093309692,1.597050114867425
2000-01-10,0.5605416307267865,0.0002390406107534915,0.0002213150686928036,1.7725552502868767e-05,0.1996430158565249,0.2372379419022234,0.2731285695483294,0.3268762111915156,-2.007537099855372,0.8123197004454709,-5.025449768629429,827.7801168802606,829.5278433353628,826.1297163506079,6.84545102097411,1.0068655852205095,12.728893942374896,0.0006935679917341626,0.2097172000702113,0.1366168254835679,1.57833836191703
