,count,mean,min,25%,50%,75%,max,std
date,6940,2009-07-01 12:00:00,2000-01-01 00:00:00,2004-09-30 18:00:00,2009-07-01 12:00:00,2014-04-01 06:00:00,2018-12-31 00:00:00,
rainfall,6940.0,2.7142238013565967,0.0020109316104576,0.4214946215485009,1.3935636439954016,4.527247814355598,15.130785687892612,2.8842735624092612
rainfall_3d,6940.0,8.142623147345217,0.013882390902049,1.3882525054399724,4.255084809123965,13.86945307131607,37.526824594159464,8.351204613333532
rainfall_5d,6940.0,13.570933372894576,0.013882390902049,2.463178780251041,7.253967652760919,23.28041891914078,56.37766828209932,13.64256988568082
rainfall_7d,6940.0,18.999031194521034,0.013882390902049,3.5257071856864908,10.152493933652845,32.80642307530919,82.27718577905432,18.862003718782972
rainfall_14d,6940.0,37.99581537994593,0.013882390902049,7.3471843604482485,20.875552047720802,67.56748642680229,144.37853558524898,36.75547820379683
runoff,6940.0,0.0013608469305988614,0.0001474091786066,0.00030677660797917496,0.00076996939137065,0.002294351730905875,0.0073736190570035,0.0012953899872881196
surface_runoff,6940.0,0.0005456159799417665,5.163686275211858e-06,5.5462910974246353e-05,0.0002558786233256,0.000910383495768625,0.0038101482235589,0.000627175842809142
runoff_3d,6940.0,0.004082441006908099,0.0002523972533232,0.0009284222885506445,0.0023079470301715964,0.0069781727099378224,0.0201332813763382,0.0038322408724222926
runoff_7d,6940.0,0.00952521214887967,0.0002523972533232,0.002178242730810825,0.0053867811442267,0.016725273253962475,0.0393549560905895,0.0087623077824889
soil_moisture_layer_1,6940.0,0.2571907777183885,0.1852020097148,0.21336784725839567,0.23578876150266295,0.30508793151908786,0.3834588547713576,0.051954530919232876
soil_moisture_rolling_7d,6940.0,0.25718028306829244,0.1872589179763519,0.2137563425601302,0.23521197323560025,0.3051604066816665,0.37877771879089955,0.051722021694321725
soil_moisture_anomaly,6940.0,-0.002743925977696392,-1.3858012477790926,-0.8446756122161,-0.4139221701587317,0.9174622547170851,2.423134350883308,0.9981570233987086
temperature_avg,6940.0,14.702370691483287,2.7282134627237724,9.887145618519256,16.210418059784928,19.59096729383147,22.647426515649727,5.2257454580637654
temperature_min,6940.0,9.315348071003623,-3.5662709800052426,3.604587056362419,10.018478046252511,15.259930825986004,17.864275041142434,6.028782631774535
temperature_max,6940.0,20.11968186207236,8.481172506405187,16.060029074899106,21.80891315740763,23.965562006465987,28.546068846461537,4.654888022003937
rolling_temperature_3d,6940.0,14.70256359761988,3.084413429841637,9.877538431121565,16.206147883563272,19.59136873517138,22.49632014150622,5.217478061223049
temperature_anomaly,6940.0,0.047620592209605954,-11.92653663654991,-4.767604480754427,1.5556679605112453,4.936217194557786,7.992676416376044,5.2257454580637654
dewpoint,6940.0,5.382561283078295,-8.738030398348242,-0.8033757805444921,4.4511660784200195,12.454744847687335,16.477241829117588,6.8075068330503665
dewpoint_min,6940.0,2.516656794053108,-12.115734756164656,-4.235213183156391,1.0551242105971879,10.38723028158089,15.171419189577678,7.518756552240545
dewpoint_max,6940.0,8.051285152672001,-5.333932833163111,2.2879034903050144,7.613917988577167,14.415868367482425,18.027706497670167,6.250212529921485
surface_pressure,6940.0,828.5882904069831,819.4275878392226,826.3306561944315,828.5691435230265,830.8037641812675,836.4837358531198,2.8992519048275223
pressure_anomaly,6940.0,0.18000837212276802,-8.980694195637739,-2.0776258404287944,0.16086148816606283,2.395482146407204,8.075453818259462,2.8992519048275223
u_component,6940.0,0.549452194601589,-0.8174037979054829,0.2361909108163259,0.5268536412606964,0.845205869149454,1.992641523122227,0.4332198965210389
v_component,6940.0,0.17622285742822646,-0.8687023644122348,-0.0949115540747491,0.16184847446437284,0.4355195332428262,1.622801748234311,0.361462242536246
wind_speed,6940.0,1.794947529785043,0.9307274935281792,1.5403448303810707,1.7624055487583488,2.0219663130681838,3.213399992455377,0.35163348557931295
total_evaporation,6940.0,0.0016651061141245605,0.0006324816636654,0.00101546500844005,0.0015120488868318,0.00236826236299235,0.003183100101094,0.0006961214729011621
month,6940.0,6.522766570605187,1.0,4.0,7.0,10.0,12.0,3.4489963970240085
day_of_year,6940.0,183.13184438040346,1.0,92.0,183.0,274.0,366.0,105.45005378774356
