Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Model
0.6405109489051095,0.2923433874709977,0.586046511627907,0.39009287925696595,0.6199245043951113,0.6538024971623155,0.586046511627907,0.6865612543885121,0.36247466869023354,0.19498250897333239,0.2601093227103816,flood_target,LogisticRegression
0.6916058394160584,0.35391923990498814,0.6930232558139535,0.46855345911949686,0.6921415938547634,0.6912599318955732,0.6930232558139535,0.7184119525908719,0.346809604812431,0.31373692414317983,0.2391469554920396,flood_target,RandomForest
0.6843065693430657,0.33827160493827163,0.6372093023255814,0.44193548387096776,0.6665047646701687,0.695800227014756,0.6372093023255814,0.7083942665575588,0.3788674264029509,0.2739664045675716,0.21357743442058563,flood_target,XGBoost
0.6651459854014599,0.3164251207729469,0.6093023255813953,0.4165341812400636,0.644038222949608,0.6787741203178207,0.6093023255813953,0.7105297890874533,0.359718310426857,0.23595140982644502,0.24402882131151177,flood_target,LightGBM
0.6505474452554745,0.3108108108108108,0.641860465116279,0.4188163884673748,0.6472639442493995,0.6526674233825198,0.641860465116279,0.6908586965129478,0.27385345885677603,0.23824199939319687,0.23704656958580017,flood_target,LSTM
0.6441605839416058,0.29314420803782504,0.5767441860465117,0.3887147335423197,0.6186785629438007,0.6606129398410897,0.5767441860465117,0.6340284560356888,0.23861806763352594,0.19361176447877188,0.2363908588886261,flood_target,GRU
0.6833941605839416,0.3333333333333333,0.6139534883720931,0.4320785597381342,0.657147005253016,0.7003405221339387,0.6139534883720931,0.7284322783306497,0.40000697963387816,0.25980450410170625,0.22722753061556247,flood_target,StackingEnsemble
0.9698905109489051,0.7461538461538462,1.0,0.8546255506607929,0.9834834834834835,0.9669669669669669,1.0,0.9963571819241922,0.9611638867340355,0.84941516439614,0.021684546819291044,heatwave_target,LogisticRegression
0.968978102189781,0.7837837837837838,0.8969072164948454,0.8365384615384616,0.9364415962354107,0.975975975975976,0.8969072164948454,0.9948402010257681,0.9536238754580895,0.8217602649780853,0.018938687709630087,heatwave_target,RandomForest
0.9781021897810219,0.8543689320388349,0.9072164948453608,0.88,0.9461007399151729,0.984984984984985,0.9072164948453608,0.995418098510882,0.9562446632957261,0.8684369909440317,0.018199283629655838,heatwave_target,XGBoost
0.9790145985401459,0.8557692307692307,0.9175257731958762,0.8855721393034826,0.9512553790904306,0.984984984984985,0.9175257731958762,0.9966151718729039,0.9675767343730429,0.8746785836656893,0.015939414156423252,heatwave_target,LightGBM
0.9142335766423357,0.5081967213114754,0.9587628865979382,0.6642857142857143,0.9343363982539241,0.9099099099099099,0.9587628865979382,0.9827146734363229,0.837340294283813,0.6615518662155504,0.06400267034769058,heatwave_target,LSTM
0.9288321167883211,0.5568862275449101,0.9587628865979382,0.7045454545454546,0.942344406261932,0.9259259259259259,0.9587628865979382,0.9810119397748264,0.8104613730255037,0.6991865318079977,0.0542481392621994,heatwave_target,GRU
0.9799270072992701,0.8571428571428571,0.9278350515463918,0.8910891089108911,0.9564100182656884,0.984984984984985,0.9278350515463918,0.997709049255441,0.9780832242158547,0.8808912554806894,0.020250934368994472,heatwave_target,StackingEnsemble
0.8832116788321168,0.25443786982248523,0.9555555555555556,0.40186915887850466,0.9178348662649329,0.8801141769743102,0.9555555555555556,0.9396553546886564,0.24331721706130433,0.4591547358198387,0.08916203508928244,compound_target,LogisticRegression
0.8813868613138686,0.2543352601156069,0.9777777777777777,0.4036697247706422,0.9275187651971667,0.8772597526165556,0.9777777777777777,0.9559467174119887,0.5030975491356434,0.4653383982073696,0.07750402693217466,compound_target,RandomForest
0.8759124087591241,0.24,0.9333333333333333,0.38181818181818183,0.9033935934031081,0.873453853472883,0.9333333333333333,0.9465165450893329,0.5281982721041079,0.4370365585863081,0.09935250878334045,compound_target,XGBoost
0.9516423357664233,0.43103448275862066,0.5555555555555556,0.4854368932038835,0.762078443810128,0.9686013320647003,0.5555555555555556,0.9485569299080242,0.41659226470240285,0.46457543084329017,0.039347692769300176,compound_target,LightGBM
0.8412408759124088,0.18226600985221675,0.8222222222222222,0.29838709677419356,0.8321387038799027,0.8420551855375833,0.8222222222222222,0.9302251823660006,0.2696744539076942,0.33929960083910016,0.0999595895409584,compound_target,LSTM
0.8476277372262774,0.20098039215686275,0.9111111111111111,0.3293172690763052,0.8780103605032245,0.8449096098953378,0.9111111111111111,0.9430595200338303,0.28735447974766704,0.3854284804449858,0.11082973331212997,compound_target,GRU
0.9379562043795621,0.3424657534246575,0.5555555555555556,0.423728813559322,0.7549423829157416,0.9543292102759277,0.5555555555555556,0.9433978221799345,0.33182277596856186,0.40577043863599793,0.2039425068070444,compound_target,StackingEnsemble
