Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score,Target,Horizon
0.7059360730593607,0.3421828908554572,0.5395348837209303,0.4187725631768953,0.6430628964059197,0.7465909090909091,0.5395348837209303,0.7248890063424946,0.4022509906766285,0.2458424233367113,0.2239021509885788,flood_target,1-day
0.6980786825251601,0.3303834808259587,0.5209302325581395,0.4043321299638989,0.6311940456640356,0.7414578587699316,0.5209302325581395,0.712406632409811,0.3842547120397937,0.2254888575595151,0.22926367819309235,flood_target,3-day
0.69019248395967,0.3185840707964602,0.5023255813953489,0.3898916967509025,0.6193134756291813,0.7363013698630136,0.5023255813953489,0.696469151534459,0.3642804183320755,0.2051077196769494,0.23553864657878876,flood_target,5-day
0.682277318640955,0.30678466076696165,0.48372093023255813,0.37545126353790614,0.6074211058485446,0.7311212814645309,0.48372093023255813,0.6805811292640094,0.35055145710872143,0.18469880265650354,0.24290761351585388,flood_target,7-day
0.9771689497716894,0.8529411764705882,0.8969072164948454,0.8743718592964824,0.9409385781873025,0.9849699398797596,0.8969072164948454,0.9927897031175754,0.9109372747156899,0.8621533512838837,0.021669281646609306,heatwave_target,1-day
0.9533394327538883,0.7254901960784313,0.7628865979381443,0.7437185929648241,0.8673870740694738,0.9718875502008032,0.7628865979381443,0.965811700409887,0.7605463153440448,0.7183440372375511,0.044411446899175644,heatwave_target,3-day
0.9367552703941339,0.6372549019607843,0.6701030927835051,0.6532663316582915,0.8164398763716318,0.9627766599597586,0.6701030927835051,0.9404260615237819,0.609293970980849,0.6187312189156106,0.05890360474586487,heatwave_target,5-day
0.9292929292929293,0.5980392156862745,0.6288659793814433,0.6130653266331658,0.7937676671100764,0.9586693548387096,0.6288659793814433,0.9228986531426671,0.5641875233288448,0.5744034385780403,0.06492671370506287,heatwave_target,7-day
0.9561643835616438,0.45714285714285713,0.35555555555555557,0.4,0.6687301587301587,0.981904761904762,0.35555555555555557,0.9431111111111111,0.3312998205012582,0.3808348313698406,0.03871976584196091,compound_target,1-day
0.9560841720036597,0.45714285714285713,0.35555555555555557,0.4,0.6687128922815946,0.9818702290076335,0.35555555555555557,0.9210559796437658,0.31966700825300837,0.380792432054338,0.03898932784795761,compound_target,3-day
0.9541704857928506,0.42857142857142855,0.3333333333333333,0.375,0.6571064372211599,0.9808795411089866,0.3333333333333333,0.9083280220947525,0.3058983946813151,0.35459294742061825,0.0394129678606987,compound_target,5-day
0.9504132231404959,0.37142857142857144,0.28888888888888886,0.325,0.6339080459770114,0.9789272030651341,0.28888888888888886,0.9065772669220945,0.2750238975418111,0.3022308878906353,0.042998891323804855,compound_target,7-day
